Customer_ID,Voice_Plan_ID,Broadband_Plan_Id,Streaming_ID,Invoice_Due_Date,Invoice_Date,No_Calls,No_Minutes,Roaming_Minutes,Total_Call_Charge,No_Extra_Channel_Subscription,Extra_Channel_Chargers,Total_Streaming_Charge,Extra_Data_GB_Used,Extra_Data_Charge,Total_Broadband_Charge,Service_Charge,Due_Charges,Paperless_Billing,Payment_Method
0002-ORFBO,V004,B003,S001,3/30/2023,1/30/2023,15,42,43,306,2,30,330,0,0,600,150,1386,Yes,Credit Card
0003-MKNFE,V003,B004,S003,3/30/2023,1/30/2023,7,11,12,123,4,60,360,10,200,800,150,1433,No,Credit Card
0004-TLHLJ,V002,B003,S001,3/30/2023,1/30/2023,12,34,35,252,6,90,390,0,0,600,150,1392,Yes,Bank Withdrawal
0011-IGKFF,V002,B003,S002,3/30/2023,1/30/2023,11,28,29,234,8,120,420,0,0,600,150,1404,Yes,Bank Withdrawal
0013-EXCHZ,V004,B003,S001,3/30/2023,1/30/2023,4,7,8,51,7,105,405,0,0,600,150,1206,Yes,Credit Card
0013-MHZWF,V004,B004,S004,3/30/2023,1/30/2023,6,17,18,141,1,15,315,0,0,600,150,1206,Yes,Credit Card
0013-SMEOE,V002,B002,S001,3/30/2023,1/30/2023,5,10,11,60,4,60,360,0,0,600,150,1170,Yes,Bank Withdrawal
0014-BMAQU,V001,B001,S002,3/30/2023,1/30/2023,8,13,14,114,4,60,360,20,400,1000,150,1624,Yes,Credit Card
0015-UOCOJ,V004,B002,S004,3/30/2023,1/30/2023,6,11,12,93,3,45,345,0,0,600,150,1188,Yes,Bank Withdrawal
0016-QLJIS,V002,B002,S004,3/30/2023,1/30/2023,13,28,29,159,6,90,390,0,0,600,150,1299,Yes,Credit Card
0017-DINOC,V003,B003,S004,3/30/2023,1/30/2023,0,,,0,0,0,300,0,0,600,150,1050,No,Credit Card
0017-IUDMW,V003,B004,S001,3/30/2023,1/30/2023,9,16,17,138,5,75,375,0,0,600,150,1263,Yes,Credit Card
0018-NYROU,V001,B001,S001,3/30/2023,1/30/2023,6,19,20,117,0,0,300,0,0,600,150,1167,Yes,Bank Withdrawal
0019-EFAEP,V004,B003,S003,3/30/2023,1/30/2023,2,2,3,51,6,90,390,0,0,600,150,1191,Yes,Bank Withdrawal
0019-GFNTW,V001,B003,S002,3/30/2023,1/30/2023,0,,,0,5,75,375,0,0,600,150,1125,No,Bank Withdrawal
0020-INWCK,V003,B004,S003,3/30/2023,1/30/2023,9,27,28,201,5,75,375,0,0,600,150,1326,Yes,Credit Card
0020-JDNXP,V002,B004,S004,3/30/2023,1/30/2023,0,,,0,1,15,315,0,0,600,150,1065,No,Credit Card
0021-IKXGC,V001,B001,S001,3/30/2023,1/30/2023,4,8,9,39,3,45,345,0,0,600,150,1134,Yes,Bank Withdrawal
0022-TCJCI,V001,B004,S002,3/30/2023,1/30/2023,6,11,12,108,4,60,360,0,0,600,150,1218,No,Credit Card
0023-HGHWL,V001,B002,S003,3/30/2023,1/30/2023,0,,,0,3,45,345,0,0,600,150,1095,Yes,Bank Withdrawal
0023-UYUPN,V004,B003,S004,3/30/2023,1/30/2023,12,31,32,258,1,15,315,0,0,600,150,1323,No,Bank Withdrawal
0023-XUOPT,V003,B002,S003,3/30/2023,1/30/2023,14,44,45,282,4,60,360,0,0,600,150,1392,No,Bank Withdrawal
0027-KWYKW,V002,B001,S002,3/30/2023,1/30/2023,14,35,36,255,6,90,390,0,0,600,150,1395,Yes,Bank Withdrawal
0030-FNXPP,V004,B003,S001,3/30/2023,1/30/2023,3,3,4,39,7,105,405,0,0,600,150,1194,No,Credit Card
0031-PVLZI,V002,B004,S002,3/30/2023,1/30/2023,5,12,13,96,3,45,345,0,0,600,150,1191,No,Credit Card
0032-PGELS,V003,B004,S001,3/30/2023,1/30/2023,0,,,0,10,150,450,0,0,600,150,1200,No,Bank Withdrawal
0036-IHMOT,V003,B004,S002,3/30/2023,1/30/2023,14,35,36,210,5,75,375,20,400,1000,150,1735,Yes,Bank Withdrawal
0040-HALCW,V004,B002,S003,3/30/2023,1/30/2023,6,20,21,165,10,150,450,0,0,600,150,1365,No,Credit Card
0042-JVWOJ,V003,B001,S001,3/30/2023,1/30/2023,12,38,39,249,0,0,300,0,0,600,150,1299,Yes,Bank Withdrawal
0042-RLHYP,V004,B001,S002,3/30/2023,1/30/2023,17,38,39,234,2,30,330,0,0,600,150,1314,No,Bank Withdrawal
0048-LUMLS,V002,B004,S004,3/30/2023,1/30/2023,18,43,44,249,2,30,330,0,0,600,150,1329,No,Credit Card
0048-PIHNL,V003,B002,S004,3/30/2023,1/30/2023,20,50,51,375,5,75,375,0,0,600,150,1500,No,Bank Withdrawal
0052-DCKON,V003,B004,S001,3/30/2023,1/30/2023,18,44,45,312,5,75,375,0,0,600,150,1437,No,Bank Withdrawal
0052-YNYOT,V003,B004,S003,3/30/2023,1/30/2023,8,23,24,204,7,105,405,0,0,600,150,1359,No,Bank Withdrawal
0056-EPFBG,V004,B002,S001,3/30/2023,1/30/2023,0,,,0,5,75,375,0,0,600,150,1125,Yes,Credit Card
0057-QBUQH,V003,B002,S001,3/30/2023,1/30/2023,11,31,32,183,10,150,450,0,0,600,150,1383,Yes,Bank Withdrawal
0058-EVZWM,V001,B001,S004,3/30/2023,1/30/2023,1,5,6,105,1,15,315,0,0,600,150,1170,Yes,Bank Withdrawal
0060-FUALY,V004,B002,S004,3/30/2023,1/30/2023,10,16,17,153,8,120,420,0,0,600,150,1323,Yes,Bank Withdrawal
0064-SUDOG,V003,B001,S004,3/30/2023,1/30/2023,10,19,20,147,2,30,330,0,0,600,150,1227,No,Bank Withdrawal
0064-YIJGF,V002,B004,S002,3/30/2023,1/30/2023,13,25,26,150,10,150,450,0,0,600,150,1350,Yes,Bank Withdrawal
0067-DKWBL,V002,B001,S004,3/30/2023,1/30/2023,17,44,45,297,2,30,330,0,0,600,150,1377,Yes,Bank Withdrawal
0068-FIGTF,V001,B002,S004,3/30/2023,1/30/2023,20,49,50,327,10,150,450,0,0,600,150,1527,No,Credit Card
0071-NDAFP,V004,B004,S001,3/30/2023,1/30/2023,11,24,25,162,5,75,375,0,0,600,150,1287,No,Credit Card
0074-HDKDG,V004,B002,S001,3/30/2023,1/30/2023,3,6,7,93,1,15,315,0,0,600,150,1158,Yes,Bank Withdrawal
0076-LVEPS,V002,B003,S003,3/30/2023,1/30/2023,0,,,0,8,120,420,0,0,600,150,1170,Yes,Credit Card
0078-XZMHT,V003,B001,S002,3/30/2023,1/30/2023,14,32,33,231,9,135,435,0,0,600,150,1416,Yes,Bank Withdrawal
0080-EMYVY,V003,B004,S001,3/30/2023,1/30/2023,13,24,25,192,4,60,360,0,0,600,150,1302,No,Credit Card
0080-OROZO,V001,B001,S004,3/30/2023,1/30/2023,12,36,37,213,9,135,435,0,0,600,150,1398,Yes,Bank Withdrawal
0082-LDZUE,V001,B001,S002,3/30/2023,1/30/2023,17,43,44,324,3,45,345,0,0,600,150,1419,Yes,Credit Card
0082-OQIQY,V003,B003,S001,3/30/2023,1/30/2023,4,2,3,66,3,45,345,20,400,1000,150,1561,Yes,Bank Withdrawal
0083-PIVIK,V002,B001,S002,3/30/2023,1/30/2023,2,5,6,45,3,45,345,40,800,1400,150,1940,No,Bank Withdrawal
0089-IIQKO,V001,B002,S002,3/30/2023,1/30/2023,10,24,25,177,9,135,435,0,0,600,150,1362,Yes,Credit Card
0093-EXYQL,V003,B004,S003,3/30/2023,1/30/2023,19,44,45,342,1,15,315,0,0,600,150,1407,Yes,Bank Withdrawal
0093-XWZFY,V001,B003,S004,3/30/2023,1/30/2023,14,38,39,219,6,90,390,0,0,600,150,1359,Yes,Credit Card
0094-OIFMO,V001,B001,S001,3/30/2023,1/30/2023,7,12,13,126,0,0,300,120,2400,3000,150,3576,Yes,Bank Withdrawal
0096-BXERS,V004,B003,S002,3/30/2023,1/30/2023,16,43,44,249,6,90,390,0,0,600,150,1389,No,Bank Withdrawal
0096-FCPUF,V002,B004,S001,3/30/2023,1/30/2023,4,3,4,69,2,30,330,0,0,600,150,1149,Yes,Mailed Check
0098-BOWSO,V004,B001,S002,3/30/2023,1/30/2023,12,21,22,153,4,60,360,0,0,600,150,1263,Yes,Bank Withdrawal
0100-DUVFC,V003,B001,S001,3/30/2023,1/30/2023,13,39,40,237,4,60,360,0,0,600,150,1347,Yes,Bank Withdrawal
0103-CSITQ,V003,B001,S002,3/30/2023,1/30/2023,5,8,9,114,1,15,315,0,0,600,150,1179,Yes,Bank Withdrawal
0104-PPXDV,V002,B001,S001,3/30/2023,1/30/2023,8,18,19,129,7,105,405,0,0,600,150,1284,No,Credit Card
0106-GHRQR,V003,B004,S002,3/30/2023,1/30/2023,13,26,27,198,3,45,345,0,0,600,150,1293,Yes,Bank Withdrawal
0106-UGRDO,V003,B002,S003,3/30/2023,1/30/2023,17,39,40,252,7,105,405,0,0,600,150,1407,Yes,Bank Withdrawal
0107-WESLM,V002,B003,S002,3/30/2023,1/30/2023,12,32,33,186,6,90,390,0,0,600,150,1326,Yes,Bank Withdrawal
