Customer_ID,Churn_label
0002-ORFBO,Stayed
0003-MKNFE,Stayed
0004-TLHLJ,Churned
0011-IGKFF,Churned
0013-EXCHZ,Churned
0013-MHZWF,Stayed
0013-SMEOE,Stayed
0014-BMAQU,Stayed
0015-UOCOJ,Stayed
0016-QLJIS,Stayed
0017-DINOC,Stayed
0017-IUDMW,Stayed
0018-NYROU,Stayed
0019-EFAEP,Stayed
0019-GFNTW,Stayed
0020-INWCK,Stayed
0020-JDNXP,Stayed
0021-IKXGC,Joined
0022-TCJCI,Churned
0023-HGHWL,Churned
0023-UYUPN,Stayed
0023-XUOPT,Churned
0027-KWYKW,Stayed
0030-FNXPP,Joined
0031-PVLZI,Churned
0032-PGELS,Churned
0036-IHMOT,Stayed
0040-HALCW,Stayed
0042-JVWOJ,Stayed
0042-RLHYP,Stayed
0048-LUMLS,Stayed
0048-PIHNL,Stayed
0052-DCKON,Stayed
0052-YNYOT,Stayed
0056-EPFBG,Stayed
0057-QBUQH,Stayed
0058-EVZWM,Stayed
0060-FUALY,Stayed
0064-SUDOG,Stayed
0064-YIJGF,Stayed
0067-DKWBL,Churned
0068-FIGTF,Stayed
0071-NDAFP,Stayed
0074-HDKDG,Stayed
0076-LVEPS,Stayed
0078-XZMHT,Stayed
0080-EMYVY,Stayed
0080-OROZO,Stayed
0082-LDZUE,Joined
0082-OQIQY,Stayed
0083-PIVIK,Stayed
0089-IIQKO,Stayed
0093-EXYQL,Stayed
0093-XWZFY,Churned
0094-OIFMO,Churned
0096-BXERS,Stayed
0096-FCPUF,Stayed
0098-BOWSO,Stayed
0100-DUVFC,Stayed
0103-CSITQ,Stayed
0104-PPXDV,Stayed
0106-GHRQR,Stayed
0106-UGRDO,Stayed
0107-WESLM,Churned
0107-YHINA,Churned
0111-KLBQG,Stayed
0112-QAWRZ,Stayed
0112-QWPNC,Churned
0114-IGABW,Stayed
0114-PEGZZ,Stayed
0114-RSRRW,Stayed
0115-TFERT,Churned
0117-LFRMW,Churned
0118-JPNOY,Stayed
0121-SNYRK,Stayed
0122-OAHPZ,Churned
0123-CRBRT,Stayed
0125-LZQXK,Churned
0128-MKWSG,Stayed
0129-KPTWJ,Stayed
0129-QMPDR,Stayed
0130-SXOUN,Stayed
0133-BMFZO,Churned
0134-XWXCE,Stayed
0135-NMXAP,Churned
0136-IFMYD,Stayed
0137-OCGAB,Churned
0137-UDEUO,Churned
