Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Number of Referrals,Multiple Lines,Multiple Lines
0002-ORFBO,Female,37,Yes,0,Frazier Park,93225,2,Yes,No
0003-MKNFE,Male,46,No,0,Glendale,91206,0,Yes,Yes
0004-TLHLJ,Male,50,No,0,Costa Mesa,92627,0,Yes,No
0011-IGKFF,Male,78,Yes,0,Martinez,94553,1,No,No
0013-EXCHZ,Female,75,Yes,0,Camarillo,93010,3,No,No
0013-MHZWF,Female,23,No,3,Midpines,95345,0,No,No
0013-SMEOE,Female,67,Yes,0,Lompoc,93437,1,Yes,No
0014-BMAQU,Male,52,Yes,0,Napa,94558,8,Yes,Yes
0015-UOCOJ,Female,68,No,0,Simi Valley,93063,0,No,No
0016-QLJIS,Female,43,Yes,1,Sheridan,95681,3,Yes,Yes
0017-DINOC,Male,47,No,0,Rancho Santa Fe,92091,0,Yes,
0017-IUDMW,Female,25,Yes,2,Sunnyvale,94086,2,Yes,Yes
0018-NYROU,Female,58,Yes,0,Antelope,95843,0,No,No
0019-EFAEP,Female,32,No,0,La Mesa,91942,0,No,Yes
0019-GFNTW,Female,39,No,0,Los Olivos,93441,0,No,
0020-INWCK,Female,58,Yes,2,Woodlake,93286,9,No,Yes
0020-JDNXP,Female,52,Yes,1,Point Reyes Station,94956,0,No,
0021-IKXGC,Female,72,No,0,San Marcos,92078,0,Yes,Yes
0022-TCJCI,Male,79,No,0,Daly City,94015,0,Yes,No
0023-HGHWL,Male,67,No,0,Morgan Hill,95037,0,Yes,
0023-UYUPN,Female,79,Yes,0,Ahwahnee,93601,0,No,Yes
0023-XUOPT,Female,26,Yes,0,Carnelian Bay,96140,1,Yes,Yes
0027-KWYKW,Female,30,Yes,2,Alpaugh,93201,1,Yes,Yes
0030-FNXPP,Female,22,No,0,Keeler,93530,0,No,No
0031-PVLZI,Female,34,Yes,0,Korbel,95550,0,No,No
0032-PGELS,Female,37,Yes,1,Palomar Mountain,92060,1,No,
0036-IHMOT,Female,37,Yes,3,Parlier,93648,10,Yes,No
0040-HALCW,Male,42,Yes,3,Modesto,95358,3,Yes,No
0042-JVWOJ,Male,64,No,0,Glen Ellen,95442,0,Yes,No
0042-RLHYP,Female,47,Yes,3,Eureka,95503,5,No,No
0048-LUMLS,Male,23,Yes,3,Moss Beach,94038,1,No,No
0048-PIHNL,Female,48,Yes,0,Los Angeles,90058,5,No,No
0052-DCKON,Male,28,Yes,0,Los Angeles,90063,9,Yes,Yes
0052-YNYOT,Female,28,No,0,Calexico,92231,0,No,No
