Date_ID,Date,Year,Month,Quarter,Week,Day,Is_Awurudu_Month,Is_Vesak_Month,Is_Christmas_Month,Invoice_Due_Date,Invoice_Date
20221219,12/19/2022,2022,12,4,52,19,No,No,Yes,No,No
20230518,5/18/2023,2023,5,2,20,18,No,Yes,No,No,No
20220821,8/21/2022,2022,8,3,35,21,No,No,No,No,No
20230617,6/17/2023,2023,6,2,24,17,No,No,No,No,No
20171115,11/15/2017,2017,11,4,46,15,No,No,No,No,No
20180713,7/13/2018,2018,7,3,28,13,No,No,No,No,No
20230217,2/17/2023,2023,2,1,7,17,No,No,No,No,No
20180514,5/14/2018,2018,5,2,20,14,No,Yes,No,No,No
20190409,4/9/2019,2019,4,2,15,9,Yes,No,No,No,No
20171016,10/16/2017,2017,10,4,42,16,No,No,No,No,No
20230418,4/18/2023,2023,4,2,16,18,Yes,No,No,No,No
20190208,2/8/2019,2019,2,1,6,8,No,No,No,No,No
20201129,11/29/2020,2020,11,4,49,29,No,No,No,No,No
20230816,8/16/2023,2023,8,3,33,16,No,No,No,No,No
20200104,1/4/2020,2020,1,1,1,4,No,No,No,No,No
20190807,8/7/2019,2019,8,3,32,7,No,No,No,No,No
20211025,10/25/2021,2021,10,4,44,25,No,No,No,No,No
20190310,3/10/2019,2019,3,1,11,10,No,No,No,No,No
20210727,7/27/2021,2021,7,3,31,27,No,No,No,No,No
20180114,1/14/2018,2018,1,1,3,14,No,No,No,No,No
20200831,8/31/2020,2020,8,3,36,31,No,No,No,No,No
20190906,9/6/2019,2019,9,3,36,6,No,No,No,No,No
20180414,4/14/2018,2018,4,2,15,14,Yes,No,No,No,No
20180315,3/15/2018,2018,3,1,11,15,No,No,No,No,No
20220123,1/23/2022,2022,1,1,5,23,No,No,No,No,No
20200304,3/4/2020,2020,3,1,10,4,No,No,No,No,No
20181110,11/10/2018,2018,11,4,45,10,No,No,No,No,No
20220920,9/20/2022,2022,9,3,39,20,No,No,No,No,No
20210627,6/27/2021,2021,6,2,27,27,No,No,No,No,No
20230717,7/17/2023,2023,7,3,29,17,No,No,No,No,No
20210826,8/26/2021,2021,8,3,35,26,No,No,No,No,No
20210428,4/28/2021,2021,4,2,18,28,Yes,No,No,No,No
20220722,7/22/2022,2022,7,3,30,22,No,No,No,No,No
20201030,10/30/2020,2020,10,4,44,30,No,No,No,No,No
20180613,6/13/2018,2018,6,2,24,13,No,No,No,No,No
20200702,7/2/2020,2020,7,3,27,2,No,No,No,No,No
20200602,6/2/2020,2020,6,2,23,2,No,No,No,No,No
20221020,10/20/2022,2022,10,4,43,20,No,No,No,No,No
20230319,3/19/2023,2023,3,1,12,19,No,No,No,No,No
20210329,3/29/2021,2021,3,1,14,29,No,No,No,No,No
20171215,12/15/2017,2017,12,4,50,15,No,No,Yes,No,No
20190109,1/9/2019,2019,1,1,2,9,No,No,No,No,No
20181210,12/10/2018,2018,12,4,50,10,No,No,Yes,No,No
20220523,5/23/2022,2022,5,2,22,23,No,Yes,No,No,No
20210128,1/28/2021,2021,1,1,5,28,No,No,No,No,No
20201229,12/29/2020,2020,12,4,53,29,No,No,Yes,No,No
20221119,11/19/2022,2022,11,4,47,19,No,No,No,No,No
20211224,12/24/2021,2021,12,4,52,24,No,No,Yes,No,No
20180911,9/11/2018,2018,9,3,37,11,No,No,No,No,No
20220622,6/22/2022,2022,6,2,26,22,No,No,No,No,No
20200203,2/3/2020,2020,2,1,6,3,No,No,No,No,No
20211124,11/24/2021,2021,11,4,48,24,No,No,No,No,No
20210925,9/25/2021,2021,9,3,39,25,No,No,No,No,No
20220222,2/22/2022,2022,2,1,9,22,No,No,No,No,No
20191105,11/5/2019,2019,11,4,45,5,No,No,No,No,No
20180812,8/12/2018,2018,8,3,33,12,No,No,No,No,No
