Servie_Line_ID,Customer_ID,Service_Line Activation Date,Tenure in Months,Offer,Contract,Premimum_Tech_Support
,0002-ORFBO,12/19/2022,9,None,One Year,No
,0003-MKNFE,12/19/2022,9,None,Month-to-Month,No
,0004-TLHLJ,5/18/2023,4,Offer E,Month-to-Month,Yes
,0011-IGKFF,8/21/2022,13,Offer D,Month-to-Month,Yes
,0013-EXCHZ,6/17/2023,3,None,Month-to-Month,Yes
,0013-MHZWF,12/19/2022,9,Offer E,Month-to-Month,Yes
,0013-SMEOE,11/15/2017,71,Offer A,Two Year,Yes
,0014-BMAQU,7/13/2018,63,Offer B,Two Year,No
,0015-UOCOJ,2/17/2023,7,Offer E,Two Year,Yes
,0016-QLJIS,5/14/2018,65,None,Two Year,No
,0017-DINOC,4/9/2019,54,None,Two Year,No
,0017-IUDMW,10/16/2017,72,None,Two Year,Yes
,0018-NYROU,4/18/2023,5,None,Month-to-Month,Yes
,0019-EFAEP,10/16/2017,72,Offer A,Two Year,Yes
,0019-GFNTW,2/8/2019,56,None,Two Year,No
,0020-INWCK,11/15/2017,71,Offer A,Two Year,No
,0020-JDNXP,11/29/2020,34,None,One Year,Yes
,0021-IKXGC,8/16/2023,1,Offer E,One Year,No
,0022-TCJCI,1/4/2020,45,None,One Year,No
,0023-HGHWL,8/16/2023,1,None,Month-to-Month,Yes
,0023-UYUPN,8/7/2019,50,None,One Year,Yes
,0023-XUOPT,8/21/2022,13,None,Month-to-Month,Yes
,0027-KWYKW,10/25/2021,23,Offer D,Month-to-Month,No
,0030-FNXPP,6/17/2023,3,None,Month-to-Month,No
,0031-PVLZI,5/18/2023,4,Offer E,Month-to-Month,No
,0032-PGELS,8/16/2023,1,None,Month-to-Month,Yes
,0036-IHMOT,3/10/2019,55,None,One Year,Yes
,0040-HALCW,4/9/2019,54,None,Two Year,No
,0042-JVWOJ,7/27/2021,26,Offer C,One Year,No
,0042-RLHYP,1/14/2018,69,None,Two Year,Yes
,0048-LUMLS,8/31/2020,37,Offer C,One Year,No
,0048-PIHNL,9/6/2019,49,Offer B,One Year,No
,0052-DCKON,4/14/2018,66,None,One Year,No
,0052-YNYOT,3/15/2018,67,None,One Year,Yes
,0056-EPFBG,1/23/2022,20,None,Two Year,No
,0057-QBUQH,3/4/2020,43,None,Two Year,No
,0058-EVZWM,3/10/2019,55,Offer B,Month-to-Month,No
,0060-FUALY,11/10/2018,59,Offer B,Month-to-Month,No
,0064-SUDOG,9/20/2022,12,None,Two Year,No
,0064-YIJGF,6/27/2021,27,Offer C,Month-to-Month,No
,0067-DKWBL,7/17/2023,2,None,Month-to-Month,Yes
,0068-FIGTF,6/27/2021,27,Offer C,One Year,No
,0071-NDAFP,8/26/2021,25,None,Two Year,No
,0074-HDKDG,8/26/2021,25,None,One Year,No
,0076-LVEPS,4/28/2021,29,None,Month-to-Month,Yes
,0078-XZMHT,10/16/2017,72,None,Two Year,No
,0080-EMYVY,7/22/2022,14,None,One Year,No
,0080-OROZO,10/30/2020,35,Offer C,One Year,Yes
,0082-LDZUE,8/16/2023,1,Offer E,Month-to-Month,Yes
,0082-OQIQY,4/28/2021,29,None,Month-to-Month,No
,0083-PIVIK,6/13/2018,64,None,One Year,Yes
,0089-IIQKO,7/2/2020,39,None,Month-to-Month,Yes
,0093-EXYQL,6/2/2020,40,None,Two Year,Yes
,0093-XWZFY,6/2/2020,40,None,Month-to-Month,No
,0094-OIFMO,10/20/2022,11,Offer D,Month-to-Month,No
,0096-BXERS,3/19/2023,6,Offer E,Month-to-Month,Yes
,0096-FCPUF,3/29/2021,30,None,Month-to-Month,Yes
,0098-BOWSO,6/27/2021,27,None,Month-to-Month,Yes
,0100-DUVFC,12/15/2017,70,None,One Year,Yes
,0103-CSITQ,1/9/2019,57,Offer B,One Year,No
,0104-PPXDV,12/10/2018,58,None,One Year,Yes
,0106-GHRQR,5/23/2022,16,None,Month-to-Month,Yes
,0106-UGRDO,1/14/2018,69,Offer A,Two Year,No
,0107-WESLM,8/16/2023,1,Offer E,Month-to-Month,No
,0107-YHINA,8/16/2023,1,None,Month-to-Month,Yes
,0111-KLBQG,1/28/2021,32,Offer C,One Year,No
,0112-QAWRZ,5/23/2022,16,Offer D,Month-to-Month,No
,0112-QWPNC,9/6/2019,49,Offer B,One Year,Yes
,0114-IGABW,11/15/2017,71,Offer A,Two Year,Yes
,0114-PEGZZ,12/29/2020,33,None,Month-to-Month,Yes
,0114-RSRRW,11/19/2022,10,Offer D,Month-to-Month,No
,0115-TFERT,12/24/2021,21,None,Month-to-Month,Yes
,0117-LFRMW,8/31/2020,37,None,Month-to-Month,No
,0118-JPNOY,7/27/2021,26,None,Month-to-Month,No
,0121-SNYRK,8/7/2019,50,Offer B,One Year,No
,0122-OAHPZ,2/17/2023,7,None,Month-to-Month,No
,0123-CRBRT,9/11/2018,61,Offer B,Two Year,No
,0125-LZQXK,6/22/2022,15,Offer D,Month-to-Month,No
,0128-MKWSG,7/27/2021,26,None,Month-to-Month,No
